config_index,HIDDEN_SIZE,NUM_LAYERS,DROPOUT,BATCH_SIZE,LEARNING_RATE,WEIGHT_DECAY,GRADIENT_CLIP,mean_epoch,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_specificity,mean_roc_auc,mean_ap,mean_early_stop_ap,std_accuracy,std_precision,std_recall,std_f1,std_specificity,std_roc_auc,std_ap,std_early_stop_ap
1,64,3,0.0,64,0.001,1e-05,5.0,28.75,0.9040740740740741,0.5647755122115736,0.7759982851543361,0.6525390142690644,0.9208405817857097,0.8994733770651556,0.7335047583852915,0.7335047583852915,0.010725830434060937,0.04003335094875066,0.03184490680608903,0.02253106925853561,0.0148475685761753,0.00502132910081239,0.015118460056465345,0.015118460056465345
2,64,3,0.1,64,0.001,1e-05,5.0,29.75,0.8864814814814814,0.5102112872556236,0.7999652947901356,0.621532134767429,0.8978015601898849,0.8980358343450312,0.7314602828031388,0.7314602828031388,0.017894421862429108,0.047956066738296436,0.030051523299090006,0.03324583180741207,0.022449149333227874,0.008089577956862961,0.017705843379097204,0.017705843379097204
3,64,3,0.3,64,0.001,1e-05,5.0,28.5,0.8903703703703704,0.5175757795937118,0.8096317164788502,0.6310570815185906,0.9009443697953304,0.9045881517069799,0.7335452025970655,0.7335452025970655,0.005832598425193925,0.01759504809204443,0.025484805405283806,0.009162370183161352,0.009335485049774262,0.009660410464883815,0.014266604855261909,0.014266604855261909
4,64,4,0.0,64,0.001,1e-05,5.0,32.25,0.9042592592592592,0.5637494248131925,0.7935448309652131,0.6577760647571482,0.9187441468308293,0.9062639373608695,0.7433763303312803,0.7433763303312803,0.01014526407607492,0.03514898460272417,0.04571519858719389,0.020004399978992615,0.01552903941543805,0.009773648246577723,0.02194445443043805,0.02194445443043805
5,64,4,0.1,64,0.001,1e-05,5.0,22.25,0.882962962962963,0.5046432732781451,0.7871447819696228,0.6112690675227084,0.895492585868712,0.9081583170683423,0.7378743793477209,0.7378743793477209,0.021271859302162795,0.06117313425286616,0.05029042140015971,0.029196158513808922,0.030396764571026615,0.010579982601032427,0.012540116661894965,0.012540116661894965
6,64,4,0.3,64,0.001,1e-05,5.0,31.25,0.8794444444444445,0.49709482328967625,0.820839457782133,0.6160493053290115,0.8871266783765152,0.9075657750998614,0.7358969884090508,0.7358969884090508,0.03059163601170891,0.07020013099426661,0.031052952987562023,0.05174889978626904,0.03753869936948108,0.008562938587416129,0.024012164783188416,0.024012164783188416
7,64,5,0.0,64,0.001,1e-05,5.0,33.75,0.9094444444444444,0.5868295368572095,0.7631777723338233,0.6619417782289493,0.9285860708965334,0.9059686529496321,0.7600687882454598,0.7600687882454598,0.011671075004880549,0.044831373873329666,0.03605904424105609,0.02441778451400552,0.01621858973900093,0.009229934468819303,0.025063192725676645,0.025063192725676645
8,64,5,0.1,64,0.001,1e-05,5.0,39.0,0.912037037037037,0.5917139506711653,0.7775600195982362,0.6715905404767802,0.9296315680104912,0.9048229396144496,0.7626127641918994,0.7626127641918994,0.004162892666688247,0.015023045803432807,0.036686260576840754,0.014774192223357267,0.006554756586225232,0.008175014297956218,0.019278742686444663,0.019278742686444663
9,64,5,0.3,64,0.001,1e-05,5.0,40.25,0.8972222222222223,0.5409208287350831,0.7920647558386413,0.6417558156835653,0.9109976046760767,0.9043104664335707,0.744791893502537,0.744791893502537,0.013583052459920223,0.04351706337652053,0.02956534150340327,0.030333652839316688,0.016541851051317086,0.014081205200169554,0.018433076781440856,0.018433076781440856
10,64,6,0.0,64,0.001,1e-05,5.0,41.5,0.9105555555555555,0.5847502515103501,0.8128164298546465,0.6791372760366201,0.9233508630046011,0.9228778073693383,0.7728831990296122,0.7728831990296122,0.014304481760810447,0.04989702063025728,0.009131827985718422,0.03316460604396495,0.016700988522590228,0.009192341224525643,0.022998874703867463,0.022998874703867463
11,64,6,0.1,64,0.001,1e-05,5.0,42.0,0.8968518518518518,0.5380443735378397,0.7856136697697207,0.638345375794307,0.9114163651450884,0.904803886156399,0.7536199165872073,0.7536199165872073,0.008388704928078623,0.0281665982151014,0.024651994762627426,0.022905519129929865,0.008999329167054882,0.009948692073980438,0.022596128986849758,0.022596128986849758
12,64,6,0.3,64,0.001,1e-05,5.0,39.25,0.902962962962963,0.5610157163088081,0.7695778213294137,0.6480002126525181,0.9204197152288405,0.9089813885484964,0.7376065858420876,0.7376065858420876,0.009993138935727437,0.03617016843821011,0.023083277816559514,0.019218167984616442,0.01361883787997424,0.009162549885851202,0.016598361090407694,0.016598361090407694
13,64,7,0.0,64,0.001,1e-05,5.0,37.75,0.9101851851851852,0.5826389934627272,0.804864853829822,0.6750988100206525,0.9239814608106192,0.9257022593199721,0.7786120491012738,0.7786120491012738,0.008497020645713447,0.03270157367475047,0.03268140436713968,0.0196844005477645,0.011834244818580348,0.01476599345899904,0.03132626299925252,0.03132626299925252
14,64,7,0.1,64,0.001,1e-05,5.0,39.25,0.9044444444444444,0.5638552455608987,0.7871447819696227,0.6561925157779809,0.9197871868422862,0.9087068532201845,0.7521308284552992,0.7521308284552992,0.007027283689263103,0.024472785129008794,0.035622894451253585,0.010465373427964126,0.011749876531028011,0.016839211594043633,0.02699311661333584,0.02699311661333584
15,64,7,0.3,64,0.001,1e-05,5.0,61.0,0.8998148148148148,0.547607891105606,0.7855422178670586,0.6449183923887643,0.9147655713605749,0.9038115323254493,0.737347523738507,0.737347523738507,0.008145341828744032,0.0267860829119688,0.03247279208958143,0.02305067722702038,0.009322222990650806,0.010715888788519336,0.019535244311026243,0.019535244311026243
16,64,8,0.0,64,0.001,1e-05,5.0,46.0,0.8951851851851853,0.5327726183313377,0.8304140127388535,0.6479947796502096,0.9036671903805139,0.9231162651297403,0.7581709132041312,0.7581709132041312,0.01207354387989891,0.037112544726871505,0.024685403629810913,0.020765438418372563,0.016664930615717385,0.004839809420967283,0.03350568585665086,0.03350568585665086
17,64,8,0.1,64,0.001,1e-05,5.0,53.5,0.8996296296296297,0.5505623117689523,0.7855932549403888,0.6458258706340547,0.9145514524283895,0.9101236805013029,0.7422888796359891,0.7422888796359891,0.015461207115509384,0.05461252171827959,0.027005197890219813,0.0340447595034282,0.018790470966461154,0.012406856912565352,0.03245276957592984,0.03245276957592984
