iter	Logloss
0	0.6262832301
1	0.5685609788
2	0.5171827383
3	0.4746712515
4	0.4372184356
5	0.4049072399
6	0.3756953491
7	0.3525760853
8	0.3323111805
9	0.3126861406
10	0.2969043142
11	0.2828892088
12	0.2710871882
13	0.2605660343
14	0.2516341996
15	0.2420151291
16	0.2353559359
17	0.2290254367
18	0.2223587545
19	0.217545076
20	0.2138626468
21	0.209652264
22	0.2053984599
23	0.2017490994
24	0.1988095375
25	0.195713813
26	0.193085678
27	0.1910504207
28	0.1887881421
29	0.1868185435
30	0.1855895457
31	0.1835300887
32	0.1819608161
33	0.180727518
34	0.1797223856
35	0.1786961194
36	0.1779343817
37	0.176850183
38	0.1760083338
39	0.1750494909
40	0.1740746672
41	0.173078295
42	0.1721571217
43	0.1716402957
44	0.1710845511
45	0.170377406
46	0.1694252458
47	0.1689588265
48	0.1681743213
49	0.1677477125
50	0.1672770601
51	0.1665926137
52	0.1658124274
53	0.1654478207
54	0.164372016
55	0.1639117725
56	0.1636239493
57	0.1631158953
58	0.1627648199
59	0.1626002975
60	0.1623197756
61	0.1619032746
62	0.1612508574
63	0.1609752636
64	0.1605793643
65	0.1602523664
66	0.1598790628
67	0.1597235039
68	0.159557658
69	0.1590505191
70	0.1585400999
71	0.1582522951
72	0.1578508062
73	0.1572478594
74	0.1569384532
75	0.1567678119
76	0.156631689
77	0.1564462174
78	0.1558934038
79	0.1552487306
80	0.1549412619
81	0.1547173424
82	0.1543730666
83	0.1541049362
84	0.1538341825
85	0.1536320604
86	0.1534520503
87	0.1529616767
88	0.1524122814
89	0.1519734883
90	0.1516212868
91	0.1513218213
92	0.1508116594
93	0.1504858476
94	0.1501380881
95	0.149914784
96	0.1497817438
97	0.1496472443
98	0.1494029274
99	0.1488833751
100	0.1487704125
101	0.14861595
102	0.148490226
103	0.1482352475
104	0.147911057
105	0.1478344234
106	0.1476598605
107	0.1470103917
108	0.1466129634
109	0.146470979
110	0.1463694055
111	0.1462319939
112	0.1460745241
113	0.1459931073
114	0.145829849
115	0.1456406877
116	0.1452791886
117	0.1451403962
118	0.1449790937
119	0.1447340258
120	0.14463796
121	0.1443887757
122	0.1443276018
123	0.1440676973
124	0.1438575516
125	0.1437477423
126	0.1433913808
127	0.1431617213
128	0.1429456646
129	0.1425726124
130	0.1424411994
131	0.142288271
132	0.1418076309
133	0.1416832852
134	0.1415565683
135	0.1414683588
136	0.1412484334
137	0.1411886347
138	0.1411616534
139	0.141031294
140	0.1409154519
141	0.1406908031
142	0.1404785223
143	0.1403754178
144	0.1402733807
145	0.1401951243
146	0.1399613045
147	0.1396958856
148	0.139566858
149	0.1393845711
150	0.1392888651
151	0.1392068872
152	0.1389218205
153	0.1387806412
154	0.138414716
155	0.1383246674
