iter	Passed	Remaining
0	131	131088
1	246	122900
2	376	125241
3	530	132028
4	660	131394
5	778	129013
6	895	127010
7	1057	131127
8	1225	134898
9	1363	134942
10	1510	135814
11	1638	134899
12	1758	133477
13	1877	132227
14	1983	130231
15	2102	129323
16	2217	128237
17	2336	127454
18	2446	126317
19	2551	125000
20	2661	124070
21	2783	123724
22	2903	123323
23	3021	122890
24	3134	122258
25	3253	121875
26	3363	121214
27	3499	121465
28	3628	121488
29	3738	120876
30	3853	120443
31	3976	120295
32	4086	119760
33	4201	119360
34	4319	119085
35	4438	118861
36	4576	119116
37	4737	119943
38	4860	119766
39	4974	119389
40	5091	119100
41	5208	118805
42	5346	119000
43	5460	118639
44	5583	118490
45	5708	118386
46	5832	118273
47	5945	117926
48	6071	117831
49	6186	117546
50	6309	117406
51	6422	117090
52	6540	116872
53	6663	116739
54	6784	116568
55	6907	116442
56	7019	116123
57	7131	115823
58	7246	115581
59	7374	115535
60	7500	115450
61	7615	115212
62	7746	115213
63	7869	115093
64	7976	114739
65	8094	114548
66	8203	114234
67	8319	114023
68	8437	113845
69	8548	113576
70	8664	113371
71	8801	113442
72	8942	113557
73	9079	113613
74	9222	113742
75	9381	114064
76	9492	113783
77	9610	113605
78	9737	113518
79	9848	113252
80	9965	113068
81	10081	112869
82	10210	112808
83	10327	112621
84	10442	112405
85	10564	112274
86	10686	112148
87	10815	112083
88	10932	111905
89	11046	111689
90	11157	111454
91	11276	111295
92	11397	111154
93	11523	111062
94	11633	110827
95	11747	110626
96	11866	110469
97	11984	110304
98	12096	110089
99	12219	109977
100	12328	109736
101	12448	109595
102	12568	109455
103	12678	109233
104	12797	109083
105	12923	108993
106	13040	108834
107	13160	108696
108	13279	108552
109	13423	108604
110	13535	108405
111	13652	108247
112	13773	108119
113	13899	108024
114	14055	108165
115	14203	108237
116	14319	108069
117	14434	107893
118	14547	107698
119	14669	107575
120	14785	107412
121	14907	107285
122	15026	107137
123	15151	107037
124	15264	106850
125	15381	106696
126	15497	106528
127	15619	106411
128	15728	106196
129	15852	106090
130	15965	105908
131	16079	105731
132	16194	105566
133	16304	105370
134	16411	105156
135	16525	104985
136	16640	104822
137	16759	104686
138	16872	104512
139	16992	104384
140	17122	104313
141	17241	104179
142	17358	104029
143	17472	103861
144	17590	103720
145	17695	103504
146	17802	103301
147	17915	103135
148	18033	102996
149	18161	102912
150	18282	102793
151	18401	102660
152	18525	102554
153	18634	102371
154	18751	102228
155	18877	102134
156	18994	101991
157	19121	101899
158	19245	101795
159	19354	101613
160	19464	101430
161	19577	101271
