iter	MAE	RMSE
0	107141.6905	1058167.995
1	102978.0518	1051515.634
2	100974.1562	1037592.106
3	99604.92094	1026508.937
4	98376.7592	1013816.062
5	94691.13277	1010756.636
6	93578.94483	995145.1836
7	91978.42362	979717.8455
8	91293.6565	974001.4436
9	88413.22547	968907.0766
10	87276.67342	954269.2744
11	86093.71553	940024.6957
12	84830.42066	929244.0238
13	82683.83956	926237.732
14	82141.02044	918442.8906
15	81252.93612	905106.8553
16	80742.01769	895177.0302
17	78232.04745	887748.0246
18	76720.29163	875914.5445
19	75178.37117	861703.0963
20	74675.762	849675.5258
21	74354.80827	840586.0132
22	74027.89521	831576.2723
23	71993.48141	830037.3845
24	70161.35515	826965.6664
25	68502.11637	822578.2751
26	68190.78363	814454.8878
27	67979.7518	806796.2432
28	67353.90133	795727.6311
29	66535.15716	784575.7782
30	66009.47033	777069.4555
31	65747.614	766843.2171
32	65053.50002	758754.4957
33	64804.06121	748884.453
34	63745.23087	740936.3688
35	63590.20471	735581.7221
36	62402.89271	734141.9813
37	62277.26982	727586.2338
38	61079.56909	726922.5876
39	60979.23614	719987.5925
40	60874.38608	719426.0866
41	59877.45943	718645.6991
42	59225.45387	707474.4856
43	58369.91577	704200.6676
44	57666.02635	698995.8998
45	56945.92805	698071.254
46	56358.12806	696583.9568
47	56288.88168	692311.2264
48	56187.06928	691519.4783
49	56044.47891	685728.7873
50	56031.00144	685339.1204
51	55977.40888	679694.3734
52	55738.22511	676470.0372
53	55368.91204	670097.6844
54	54930.03295	661752.1398
55	54518.3724	656697.9684
56	54491.16542	650896.7075
57	54312.63239	644375.712
58	54345.44591	639922.0332
59	54373.29304	637280.4595
60	54241.87394	631039.6743
61	53983.07969	624149.5604
62	53715.11091	622949.7511
63	53572.21914	619717.0926
64	53583.59724	615728.0056
65	53528.65216	608827.53
66	53403.50723	601872.8347
67	53424.21222	598268.8007
68	53245.69589	594876.4572
69	53186.52949	590292.3273
70	53110.44695	589453.5563
71	52909.86363	587286.5077
72	52840.078	580760.6687
73	52768.97978	578884.5115
74	52665.28365	578089.081
75	52681.50944	574855.8788
76	52632.87836	571342.2435
77	52666.88664	569884.8225
78	52569.24624	568514.4635
79	52548.37492	565431.4209
80	52549.93329	562513.3766
81	52464.0416	557947.396
82	52444.95978	552363.0119
83	52361.43205	546796.7781
84	52374.10553	543387.6627
85	52305.03184	542844.8542
86	52205.22697	542448.9172
87	52092.03979	539160.915
88	52066.85415	534022.0831
89	51961.26733	530462.3718
90	51990.63123	528187.8715
91	51932.54544	524232.6705
92	51944.01374	522979.2344
93	51897.75669	518077.6832
94	51874.29349	517070.0818
95	51847.19415	514489.4951
96	51701.642	509755.3928
97	51683.05711	506418.5288
98	51650.76175	502049.2205
99	51623.39709	499192.4658
100	51609.4565	496544.8328
101	51435.07859	492016.5662
102	51306.58107	488173.4668
103	51071.07528	482696.6345
104	51069.63751	482376.0225
105	50930.83611	478766.4585
106	50785.45586	474664.8609
107	50651.53104	471497.0436
108	50673.72682	471308.3422
109	50616.17897	467382.7936
110	50636.28496	466063.567
111	50622.16049	462243.5158
112	50506.94704	458829.623
113	50398.03239	456462.1937
114	50367.20848	453065.989
115	50399.12716	452613.0282
116	50366.57182	450313.4139
117	50326.42514	449758.8321
118	50266.71537	447883.1089
119	50149.51877	443095.5833
120	50150.41198	442374.3991
121	50044.63746	438812.4866
122	50005.57454	437671.6983
123	49986.51417	434609.0654
124	49931.69665	433574.3213
125	49794.66171	430676.7152
126	49716.83346	428428.6324
127	49686.2802	428028.307
128	49631.65128	425390.2147
129	49580.70416	425047.6817
130	49551.031	422080.9262
131	49486.79108	421261.4715
132	49476.90168	420575.813
133	49443.55237	420026.182
134	49349.44742	417008.968
135	49359.2966	416375.6566
136	49292.18689	414830.6237
137	49189.42777	411794.4342
138	49132.44701	411303.421
139	49117.45974	411186.4806
140	49063.24324	409867.6112
141	48956.78834	407259.1986
142	48985.68307	406823.2339
143	48977.55911	405644.9277
144	48912.16073	402903.8831
145	48892.18265	400238.4107
146	48825.71522	398231.1534
147	48798.35789	397951.1395
148	48804.84657	397876.2071
149	48782.18808	395848.8593
150	48766.89509	395570.4349
151	48778.37778	394803.7121
152	48742.28161	394167.2083
153	48697.06056	393062.5404
154	48595.55058	390995.2263
155	48538.03011	390748.0643
156	48541.00149	390578.3638
157	48533.89517	390068.9658
158	48533.83599	389918.2944
159	48511.91684	389638.876
160	48482.54226	388183.8455
161	48398.67046	387665.9475
162	48357.03327	387418.0125
163	48358.97685	387105.5153
164	48322.51308	386242.7735
165	48330.69417	385940.9079
166	48289.1765	383906.0474
167	48242.65897	383412.4639
168	48190.76532	381306.6294
169	48167.73105	380850.0271
170	48115.26649	379198.2366
171	48083.29726	378772.351
172	48036.55023	376590.4271
173	48002.00208	374655.497
174	48005.76031	374490.0687
175	48005.19796	374275.7049
176	48028.37007	374075.2333
177	47984.42852	371336.7965
178	47952.59533	370866.2587
179	47963.72789	370614.8804
180	47934.01345	368589.7783
181	47882.09494	367481.2095
182	47863.2051	365777.2613
183	47825.63146	365285.3135
184	47794.47596	365051.8834
185	47720.04733	364376.8476
186	47637.48789	363464.3738
187	47545.30782	360609.1052
188	47492.43447	360002.3947
189	47514.01562	359059.1744
190	47478.44291	357209.6447
191	47433.63949	355595.1796
192	47429.55063	355201.9625
193	47431.75568	354900.4896
194	47421.22432	353923.3862
195	47403.34848	353336.3274
196	47389.19418	353198.2048
197	47341.3727	352903.3199
198	47297.78997	351213.6853
199	47251.70278	349688.3128
200	47230.8637	349379.2259
201	47181.00026	347936.6477
202	47154.3405	347143.4459
203	47100.4848	346595.5818
204	47039.70234	345284.1366
205	46996.7959	344844.4069
206	46971.44008	344507.525
207	46954.21705	344027.7373
208	46854.15094	340942.2987
209	46858.87112	340618.0385
210	46822.22966	339581.1703
211	46821.05145	339331.4355
212	46814.14201	339212.5942
213	46825.09416	338685.1593
214	46801.0337	338155.4054
215	46780.78426	337796.358
216	46747.73295	336314.951
217	46704.95794	335245.5419
218	46701.88744	334813.7353
219	46679.88445	334346.1961
220	46639.07679	332902.0108
221	46649.65725	332732.614
222	46582.76006	331972.504
223	46552.48272	331015.348
224	46527.67857	330645.6543
225	46514.40359	330039.0025
226	46480.13223	328916.4285
227	46454.71746	328691.4108
228	46431.24453	328168.9941
229	46382.08867	326623.4893
230	46368.48135	326330.9754
231	46349.40955	325908.8097
232	46311.03199	325180.3035
233	46213.63516	323256.5046
234	46197.93102	322794.1299
235	46199.87946	322275.9651
236	46208.13287	321931.4564
237	46203.80066	321707.5177
238	46162.19179	321411.8855
239	46132.82813	321188.8574
240	46082.49929	320791.0026
241	46070.81361	320718.0912
242	46068.33503	320507.5597
243	46039.36735	319800.0617
244	46014.90039	319662.686
245	46012.556	318977.5942
246	45983.88371	318458.5702
247	45989.00719	317991.1502
248	45975.62978	317379.0935
249	45956.54231	316607.3497
250	45958.63768	316476.3472
251	45930.168	316221.1147
252	45914.76196	316078
253	45912.15357	315161.703
254	45815.30237	314669.3194
255	45776.18469	314332.1962
256	45760.65699	314050.4851
257	45755.84101	313756.6293
258	45738.30798	312661.2854
259	45709.91724	311604.1293
260	45680.95039	310554.3195
261	45665.15699	310405.448
262	45644.22617	310232.8985
263	45623.8486	309232.5708
264	45575.98465	308129.0481
265	45479.87277	307744.8047
266	45460.96603	307430.3689
267	45446.1381	307245.8069
268	45421.29828	306735.2478
269	45385.97968	306208.1277
270	45332.64335	305118.4443
271	45330.67836	304912.6615
272	45298.37617	304061.6839
273	45291.24449	304001.3728
274	45268.2838	303055.6175
275	45256.7585	302153.0153
276	45235.27436	301267.3902
277	45236.6649	301140.7207
278	45222.18348	301044.9478
279	45214.49473	300924.342
280	45183.84421	300227.8714
281	45150.57107	300094.6849
282	45164.55224	299941.813
283	45117.73579	299345.7999
284	45101.04567	298512.5668
285	45080.46701	298001.0618
286	45047.6141	297118.6749
287	45050.20626	297060.0054
288	44994.00323	295793.5535
289	44993.80401	295673.6274
290	44971.80384	295558.8505
291	44959.11826	294815.5231
292	44922.09997	293911.5486
293	44902.08253	293565.8372
294	44904.80792	293400.3139
295	44886.35609	292855.3426
296	44891.14547	292429.2216
297	44833.65253	291101.1349
298	44797.9774	290515.382
299	44787.10088	290455.608
300	44764.46053	290137.9708
301	44682.21094	287958.3405
302	44648.7144	287611.4484
303	44638.60981	287052.4509
304	44570.43568	286814.97
305	44536.88344	286279.0079
306	44538.78846	285773.7792
307	44524.52445	285350.5483
308	44516.384	285039.1119
309	44475.30737	284793.8432
310	44473.42776	284708.0576
311	44379.63332	283639.402
312	44358.44609	283381.1781
313	44294.82406	281941.4876
314	44294.63182	281774.5633
315	44284.01345	281684.2123
316	44271.64983	281601.9907
317	44251.25408	281078.1646
318	44205.32382	280786.4332
319	44189.20258	280241.8212
320	44046.60409	279558.5281
321	44012.88311	279091.6046
322	43968.44784	278901.5977
323	43908.07927	278495.8365
324	43910.77031	277895.2176
325	43912.362	277371.8737
326	43873.68804	276981.3672
327	43795.73733	274918.2192
328	43763.7218	274348.0352
329	43667.01871	273013.0292
330	43629.53519	272838.6593
331	43609.73613	272279.276
332	43619.32428	272164.1756
333	43561.56699	271865.6536
334	43564.73187	271785.1932
335	43561.75863	271516.3741
336	43534.84791	270862.1694
337	43499.3895	270144.0103
338	43475.61027	269429.3223
339	43458.74532	268927.9299
340	43437.52911	268499.5453
341	43390.72093	268220.1253
342	43384.78738	268161.1198
343	43361.85744	267993.5645
344	43311.70681	267821.9729
345	43288.98705	267260.1238
346	43228.00276	266877.1045
347	43203.72946	266467.9764
348	43187.69538	265951.6892
349	43159.26644	265839.3517
350	43125.809	265546.9732
351	43064.61026	264811.6402
352	43048.68856	264397.0061
353	43025.08906	264196.5252
354	43001.83453	263685.1053
355	42991.07558	263454.6149
356	42948.83403	263044.9549
357	42926.144	262931.2233
358	42924.09989	262713.6216
359	42923.83292	262673.801
360	42848.0298	261154.2314
361	42810.39288	260386.505
