iter	Passed	Remaining
0	8	8479
1	16	8136
2	23	7744
3	30	7593
4	41	8202
5	51	8488
6	58	8367
7	67	8341
8	73	8097
9	79	7866
10	87	7848
11	96	7938
12	103	7834
13	111	7849
14	119	7870
15	128	7895
16	135	7862
17	144	7892
18	152	7868
19	161	7912
20	168	7871
21	179	7978
22	186	7942
23	193	7880
24	201	7842
25	210	7889
26	217	7830
27	224	7804
28	232	7789
29	239	7746
30	247	7726
31	253	7682
32	265	7792
33	272	7730
34	280	7722
35	289	7741
36	297	7752
37	305	7723
38	310	7644
39	315	7575
40	322	7538
41	329	7511
42	336	7482
43	343	7452
44	351	7469
45	359	7448
46	367	7443
47	373	7414
48	382	7429
49	391	7443
50	398	7413
51	403	7348
52	409	7316
53	422	7398
54	432	7429
55	441	7447
56	448	7419
57	455	7397
58	462	7369
59	468	7340
60	484	7461
61	494	7477
62	501	7461
63	508	7441
64	515	7420
65	522	7400
66	530	7380
67	536	7359
68	543	7334
69	550	7311
70	556	7286
71	563	7257
72	569	7236
73	574	7194
74	582	7181
75	591	7195
76	601	7208
77	607	7180
78	615	7171
79	621	7152
80	629	7140
81	637	7142
82	644	7120
83	653	7124
84	664	7158
85	672	7151
86	682	7161
87	693	7188
88	700	7171
89	705	7136
90	719	7183
91	730	7211
92	739	7208
93	747	7202
94	753	7178
95	760	7164
96	768	7153
97	776	7142
98	784	7140
99	794	7148
100	802	7147
101	809	7130
102	816	7108
103	822	7089
104	829	7069
105	836	7056
106	843	7040
107	850	7023
108	856	7005
109	863	6988
110	870	6975
111	879	6973
112	886	6960
113	894	6951
114	905	6969
115	914	6970
116	921	6950
117	926	6923
118	932	6903
119	939	6886
120	948	6888
121	954	6868
122	960	6850
123	974	6885
124	990	6936
125	996	6909
126	1002	6891
127	1014	6911
128	1026	6927
129	1032	6912
130	1039	6895
131	1047	6887
132	1054	6874
133	1062	6863
134	1067	6837
135	1074	6824
136	1080	6808
137	1087	6789
138	1092	6768
139	1099	6754
140	1106	6742
141	1113	6729
142	1121	6720
143	1135	6747
144	1145	6754
145	1153	6745
146	1160	6736
147	1167	6718
148	1172	6695
149	1186	6723
150	1195	6720
151	1202	6708
152	1213	6719
153	1220	6703
154	1226	6687
155	1233	6673
156	1239	6656
157	1245	6637
158	1252	6624
159	1259	6610
160	1266	6598
161	1272	6583
162	1286	6606
163	1296	6611
